URL,title
https://bib-pubdb1.desy.de/record/628054,Influence of the Ti:Al:Cr proportion on the structure and oxidation resistance of ternary intermetallic coatings produced by non-vacuum electron beam cladding
https://bib-pubdb1.desy.de/record/622760,Complex deformation behavior of a partially recrystallized metastable medium-entropy alloy: In-situ synchrotron X-ray diffraction study
https://bib-pubdb1.desy.de/record/633153,Harnessing competitive interplay between precipitation and lattice distortion for strong and ductile medium-entropy alloy
https://bib-pubdb1.desy.de/record/625073,Stress-induced orthorhombic O phase in TiAl alloys
https://bib-pubdb1.desy.de/record/639058,Synchrotron X-ray and neutron diffraction study on the deformation and phase transformation mechanisms in TiAl alloys: a review
https://bib-pubdb1.desy.de/record/639694,HfNbTaTiAl refractory multi-principal element alloy with excellent tensile properties at room temperature
https://bib-pubdb1.desy.de/record/634801,Linear polarization properties of energetic x-raysbeing Compton-scattered off atomic targets
https://bib-pubdb1.desy.de/record/629644,Influence of B4C alloying on the phase stability of Fe-Mn-Co-Cr-Si high entropy alloys fabricated using laser powder bed fusion
https://bib-pubdb1.desy.de/record/623297,Impact of high-pressure hydrogen charging on mechanical behavior and lattice parameters of a polycrystalline CoNiCr-based superalloy
https://bib-pubdb1.desy.de/record/623825,Accurate prediction of structural and mechanical properties on amorphous materials enabled through machine-learning potentials: A case study of silicon nitride
https://bib-pubdb1.desy.de/record/639651,Position-dependent variations in cell wall orientation of hardwood branches: Evidence from wide-angle X-ray diffraction
https://bib-pubdb1.desy.de/record/638524,Wire-Arc directed energy deposition of metastable-β alloy Ti-15 V-3Cr-3Sn-3Al using thick wire feedstock: Microstructure and mechanical response
https://bib-pubdb1.desy.de/record/636702,Revealing the Hidden Polysulfides in Solid-State Na–S Batteries: How Pressure and Electrical Transport Control Kinetic Pathways
https://bib-pubdb1.desy.de/record/640124,None
https://bib-pubdb1.desy.de/record/627885,Biodegradable ultrahigh-purity magnesium and its alloy ZX00 promote osteogenesis in the medullary cavity and glycogenolysis in the liver
https://bib-pubdb1.desy.de/record/639653,Exploring the relative influence of atomic parameters on solid solution strengthening
https://bib-pubdb1.desy.de/record/622083,None
https://bib-pubdb1.desy.de/record/627005,Enhancing mechanical strength of Ti-6Al-4V sheet material by short-time sub-β-transus solution heat treatment and additional short-time annealing
https://bib-pubdb1.desy.de/record/639057,Energy- and material-efficient Ti-6Al-4V sheet part fabrication by the novel TISTRAQ-process, including resistance heating and tool-based quenching: Insights into test stand design and material potential
https://bib-pubdb1.desy.de/record/632636,Impact of Microstructural Variations on Hydrogen Permeation into Duplex Steel
https://bib-pubdb1.desy.de/record/638442,Hydrogen permeation into duplex steel under compressive and tensile stresses: Symmetric lattice swelling and asymmetric stress redistribution
https://bib-pubdb1.desy.de/record/636258,Effect of Multipass Welding in the Phase Balance of Dissimilar Duplex Stainless Steel Joint Using Double-Pulsed Gas Metal Arc Welding
https://bib-pubdb1.desy.de/record/619758,Effect of cyclic loading on microstructure and plastic deformation in heat-treated Co–28Cr–6Mo alloy fabricated via laser powder bed fusion: An in situ synchrotron X-ray diffraction study
https://bib-pubdb1.desy.de/record/637193,In situ alloying of AlCuSi using dual-wire-directed energy deposition with plasma
https://bib-pubdb1.desy.de/record/633244,Avoiding the formation of pores during laser welding of copper hairpins by dynamic beam shaping
https://bib-pubdb1.desy.de/record/639426,Powder bed fusion electron beam of an oxygen-compatible β-Ti–35.5Nb–2Ta–3Zr alloy: Feasibility and material evaluation
https://bib-pubdb1.desy.de/record/627010,Retained austenite in multipass high-strength weld metal with a yield strength exceeding 1100 MPa
https://bib-pubdb1.desy.de/record/619482,Gas tungsten arc welding of CoCrFeMnNi high entropy alloy to 316 stainless steel
https://bib-pubdb1.desy.de/record/620111,Excellent strength/ductility synergy by optimization of post-weld heat treatment for gas metal arc welded CoCrFeMnNi high entropy alloys with 410 stainless filler wire: High-throughput thermodynamic modelling with experimental validation
https://bib-pubdb1.desy.de/record/623735,Unveiling the macrosegregation formation mechanism and its impact on properties in dissimilar welding between CoCrFeMnNi high-entropy alloy and 316 stainless steel
https://bib-pubdb1.desy.de/record/627271,Microstructure evolution and local strengthening mechanisms in CoCrFeMnNi high entropy alloy joints reinforced with Inconel 625
